"Row.names"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"M6-5"	"C8-2"	"D7-4"	"F4-3"	"A4-3"
"ASV1056"	"Bacteria"	NA	NA	NA	NA	NA	NA	70	0	0	0	0
"ASV1057"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	70	0	0	0	0
"ASV1058"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	70	0	0	0	0
"ASV1059"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"apis"	0	0	70	0	0
"ASV106"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	0	506
"ASV1060"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	70	0	0
"ASV1061"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	70	0
"ASV1062"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	70	0
"ASV1063"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	70	0
"ASV1064"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	69	0	0	0	0
"ASV1065"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA	69	0	0	0	0
"ASV1066"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	69	0	0	0	0
"ASV1067"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	69	0	0	0	0
"ASV1068"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	68	0	0	0	0
"ASV1069"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"apicola"	0	0	68	0	0
"ASV107"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	0	504
"ASV1070"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	68	0	0
"ASV1071"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	68	0
"ASV1072"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	68	0
"ASV1073"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	67	0	0	0	0
"ASV1074"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	67	0	0	0	0
"ASV1075"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	67	0	0
"ASV1076"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	67	0	0
"ASV1077"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	67	0
"ASV1078"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	67	0
"ASV1079"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	67	0
"ASV108"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"apis"	503	0	0	0	0
"ASV1080"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	66	0	0	0	0
"ASV1081"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Pectinatus"	NA	0	0	66	0	0
"ASV1082"	"Bacteria"	"Firmicutes"	"Bacilli"	NA	NA	NA	NA	0	0	66	0	0
"ASV1083"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	66	0
"ASV1084"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	65	0	0	0	0
"ASV1085"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"apis"	0	0	65	0	0
"ASV1086"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	NA	NA	NA	0	0	65	0	0
"ASV1087"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA	64	0	0	0	0
"ASV1088"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	64	0	0	0	0
"ASV1089"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	64	0	0	0	0
"ASV109"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	502	0	0	0
"ASV1090"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	64	0	0
"ASV1091"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	64	0	0
"ASV1092"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	64	0
"ASV1093"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	63	0	0	0	0
"ASV1094"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	63	0	0	0	0
"ASV1095"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	63	0	0	0	0
"ASV1096"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	63	0	0	0	0
"ASV1097"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	63	0	0	0	0
"ASV1098"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	63	0	0	0	0
"ASV1099"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	63	0	0
"ASV11"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"apis"	0	1716	0	0	0
"ASV110"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	195	0	0	307
"ASV1100"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	63	0	0
"ASV1101"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	63	0	0
"ASV1102"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	63	0
"ASV1103"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA	62	0	0	0	0
"ASV1104"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	NA	NA	NA	NA	62	0	0	0	0
"ASV1105"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	NA	NA	NA	NA	62	0	0	0	0
"ASV1106"	NA	NA	NA	NA	NA	NA	NA	0	0	62	0	0
"ASV1107"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA	0	0	0	62	0
"ASV1108"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	62	0
"ASV1109"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	62	0
"ASV111"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	0	0	0	0	494
"ASV1110"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	62	0
"ASV1111"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	62	0
"ASV1112"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Commensalibacter"	NA	0	0	61	0	0
"ASV1113"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	61	0	0
"ASV1114"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	61	0
"ASV1115"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	61	0
"ASV1116"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"apicola"	0	0	60	0	0
"ASV1117"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	60	0
"ASV1118"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"helsingborgensis"	0	0	0	60	0
"ASV1119"	"Bacteria"	NA	NA	NA	NA	NA	NA	59	0	0	0	0
"ASV112"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	0	487
"ASV1120"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	59	0	0	0	0
"ASV1121"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	59	0	0
"ASV1122"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"kullabergensis"	0	0	0	59	0
"ASV1123"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	59	0
"ASV1124"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"indicum"	0	0	58	0	0
"ASV1125"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Apibacter"	"adventoris"	0	0	58	0	0
"ASV1126"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	57	0	0	0	0
"ASV1127"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA	57	0	0	0	0
"ASV1128"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	57	0	0
"ASV1129"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"indicum"	0	0	57	0	0
"ASV113"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	0	482
"ASV1130"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"indicum"	0	0	57	0	0
"ASV1131"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	57	0
"ASV1132"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	56	0	0
"ASV1133"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"indicum"	0	0	56	0	0
"ASV1134"	NA	NA	NA	NA	NA	NA	NA	0	0	0	56	0
"ASV1135"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	55	0	0	0	0
"ASV1136"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	55	0	0
"ASV1137"	NA	NA	NA	NA	NA	NA	NA	0	0	55	0	0
"ASV1138"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	55	0
"ASV1139"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	53	0	0	0
"ASV114"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	0	0	0	0	479
"ASV1140"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Selenomonadaceae"	"Pectinatus"	NA	0	0	53	0	0
"ASV1141"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	52	0	0
"ASV1142"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"mellis"	0	0	0	52	0
"ASV1143"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"helsingborgensis"	0	0	0	52	0
"ASV1144"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	51	0
"ASV1145"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	51	0
"ASV1146"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	51	0
"ASV1147"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	50	0	0	0	0
"ASV1148"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	50	0
"ASV1149"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	50	0
"ASV115"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	0	0	0	0	475
"ASV1150"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"perrara"	49	0	0	0	0
"ASV1151"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	49	0	0	0	0
"ASV1152"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"asteroides"	0	0	0	49	0
"ASV1153"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Gilliamella"	"apicola"	48	0	0	0	0
"ASV1154"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	48	0	0	0
"ASV1155"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	48	0	0
"ASV1156"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	47	0
"ASV1157"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	47	0
"ASV1158"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	47	0
"ASV1159"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA	0	0	0	46	0
"ASV116"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	0	0	471
"ASV1160"	NA	NA	NA	NA	NA	NA	NA	0	0	0	46	0
"ASV1161"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	45	0	0
"ASV1162"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Bartonella"	"apis"	0	0	0	45	0
"ASV1163"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	NA	0	44	0	0	0
"ASV1164"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	44	0	0
"ASV1165"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	44	0
"ASV1166"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	44	0
"ASV1167"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	43	0	0
"ASV1168"	"Bacteria"	NA	NA	NA	NA	NA	NA	0	0	42	0	0
"ASV1169"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	0	0	0	42	0
"ASV117"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	"Snodgrassella"	"alvi"	0	470	0	0	0
"ASV1170"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	0	42	0
"ASV1171"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	NA	NA	0	0	41	0	0
"ASV1172"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"hominis"	0	0	41	0	0
